Input Size,Run Time (ns)
0,828
1,730
2,2491
3,2622
4,2646
5,2960
6,2450
7,2565
8,2584
9,2618
10,2771
11,2703
12,2671
13,2529
14,2652
15,2830
16,2869
17,2966
18,3035
19,2587
20,2720
21,2695
22,2750
23,2346
24,1893
Input Size,Run Time (ns)
0,873
1,872
2,2566
3,2765
4,2915
5,2906
6,2654
7,2701
8,2680
9,2660
10,3094
11,2611
12,2855
13,2708
14,2648
15,2758
16,2746
17,2816
18,2786
19,2673
20,2718
21,2735
22,2860
23,2200
24,1928
Input Size,Run Time (ns)
0,1064
1,599
2,2443
3,2603
4,2937
5,2569
6,2709
7,2585
8,2538
9,2601
10,2606
11,2697
12,2827
13,2669
14,2648
15,2609
16,2806
17,3059
18,3089
19,3297
20,2984
21,2748
22,2955
23,2412
24,2428
