Input Size,Run Time (ns)
0,549
1,620
2,875
3,927
4,3951
5,4406
6,2262
7,2245
8,2692
9,3411
10,3293
11,2461
12,1682
13,1951
14,2421
15,3141
16,4335
17,6190
18,9239
19,14430
20,22612
21,35570
22,56881
23,91169
24,146558
Input Size,Run Time (ns)
0,548
1,648
2,845
3,945
4,1144
5,1467
6,748
7,856
8,992
9,1102
10,1183
11,1499
12,1461
13,1723
14,2162
15,2834
16,4139
17,6145
18,9271
19,14386
20,22466
21,35648
22,57369
23,111569
24,208139
Input Size,Run Time (ns)
0,2351
1,2934
2,3474
3,3682
4,2902
5,3577
6,1065
7,925
8,953
9,1064
10,1356
11,1607
12,1450
13,1685
14,2175
15,2921
16,4137
17,6195
18,9170
19,14403
20,22436
21,35489
22,56802
23,91097
24,146572
Input Size,Run Time (ns)
0,590
1,636
2,802
3,910
4,1190
5,1527
6,718
7,877
8,936
9,1207
10,1287
11,1594
12,1461
13,1644
14,2037
15,2921
16,4246
17,6239
18,9307
19,14305
20,22479
21,35683
22,56914
23,91004
24,146484
